127.0.0.1 - - [19/May/2025:12:28:06 +0545] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [19/May/2025:12:28:07 +0545] "GET /Admindash/ HTTP/1.1" 200 19147
0:0:0:0:0:0:0:1 - - [19/May/2025:12:28:07 +0545] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/May/2025:12:28:12 +0545] "GET /Admindash/UserController HTTP/1.1" 200 12849
0:0:0:0:0:0:0:1 - - [19/May/2025:12:28:14 +0545] "GET /Admindash/EventManagement HTTP/1.1" 200 15637
0:0:0:0:0:0:0:1 - - [19/May/2025:12:28:18 +0545] "GET /Admindash/EventManagement?section=venue HTTP/1.1" 200 12850
0:0:0:0:0:0:0:1 - - [19/May/2025:12:28:23 +0545] "GET /Admindash/EventManagement?section=service HTTP/1.1" 200 13072
0:0:0:0:0:0:0:1 - - [19/May/2025:12:28:27 +0545] "GET /Admindash/EventManagement?section=service&action=add HTTP/1.1" 200 4024
0:0:0:0:0:0:0:1 - - [19/May/2025:13:14:33 +0545] "GET /Admindash/ HTTP/1.1" 200 19147
0:0:0:0:0:0:0:1 - - [19/May/2025:13:14:33 +0545] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/May/2025:13:14:52 +0545] "GET /Admindash/UserController HTTP/1.1" 200 12849
0:0:0:0:0:0:0:1 - - [19/May/2025:13:14:54 +0545] "GET /Admindash/EventManagement HTTP/1.1" 200 15637
0:0:0:0:0:0:0:1 - - [19/May/2025:13:15:00 +0545] "GET /Admindash/UserController HTTP/1.1" 200 12849
0:0:0:0:0:0:0:1 - - [19/May/2025:13:15:01 +0545] "GET /Admindash/UserController HTTP/1.1" 200 12849
0:0:0:0:0:0:0:1 - - [19/May/2025:13:15:03 +0545] "GET /Admindash/admin HTTP/1.1" 200 19147
0:0:0:0:0:0:0:1 - - [19/May/2025:13:15:07 +0545] "GET /Admindash HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2025:13:15:07 +0545] "GET /Admindash/ HTTP/1.1" 200 19147
0:0:0:0:0:0:0:1 - - [19/May/2025:13:15:09 +0545] "GET /Admindash HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2025:13:15:09 +0545] "GET /Admindash/ HTTP/1.1" 200 19147
0:0:0:0:0:0:0:1 - - [19/May/2025:13:15:10 +0545] "GET /Admindash HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2025:13:15:10 +0545] "GET /Admindash/ HTTP/1.1" 200 19147
0:0:0:0:0:0:0:1 - - [19/May/2025:13:15:11 +0545] "GET /Admindash/UserController HTTP/1.1" 200 12849
0:0:0:0:0:0:0:1 - - [19/May/2025:13:15:12 +0545] "GET /Admindash/EventManagement HTTP/1.1" 200 15637
0:0:0:0:0:0:0:1 - - [19/May/2025:13:15:13 +0545] "GET /Admindash/EventManagement?section=venue HTTP/1.1" 200 12850
0:0:0:0:0:0:0:1 - - [19/May/2025:13:15:15 +0545] "GET /Admindash/EventManagement?section=venue&action=add HTTP/1.1" 200 4029
